time: 2000000000
64 1 1
64 2 1
64 3 1
64 4 1
64 5 1
64 6 1
64 7 1
64 8 1
64 9 1
64 10 1
64 11 1
64 12 1
64 13 1
64 14 1
64 15 1
64 16 1
64 17 1
64 18 1
65 1 1
65 2 1
65 3 1
65 4 1
65 5 1
65 6 1
65 7 1
65 8 1
65 9 1
65 10 1
65 11 1
65 12 1
65 13 1
65 14 1
65 15 1
65 16 1
65 17 1
65 18 1
66 1 1
66 2 1
66 3 1
66 4 1
66 5 1
66 6 1
66 7 1
66 8 1
66 9 1
66 10 1
66 11 1
66 12 1
66 13 1
66 14 1
66 15 1
66 16 1
66 17 1
66 18 1
67 1 1
67 2 1
67 3 1
67 4 1
67 5 1
67 6 1
67 7 1
67 8 1
67 9 1
67 10 1
67 11 1
67 12 1
67 13 1
67 14 1
67 15 1
67 16 1
67 17 1
67 18 1
