time: 2000000000
320 1 1
320 2 1
320 3 1
320 4 1
320 5 1
320 6 1
320 7 1
320 8 1
320 9 1
320 10 1
320 11 1
320 12 1
320 13 1
320 14 1
320 15 1
320 16 1
320 17 1
321 1 1
321 2 1
321 3 1
321 4 1
321 5 1
321 6 1
321 7 1
321 8 1
321 9 1
321 10 1
321 11 1
321 12 1
321 13 1
321 14 1
321 15 1
321 16 1
321 17 1
322 1 1
322 2 1
322 3 1
322 4 1
322 5 1
322 6 1
322 7 1
322 8 1
322 9 1
322 10 1
322 11 1
322 12 1
322 13 1
322 14 1
322 15 1
322 16 1
322 17 1
323 1 1
323 2 1
323 3 1
323 4 1
323 5 1
323 6 1
323 7 1
323 8 1
323 9 1
323 10 1
323 11 1
323 12 1
323 13 1
323 14 1
323 15 1
323 16 1
323 17 1
324 1 1
324 2 1
324 3 1
324 4 1
324 5 1
324 6 1
324 7 1
324 8 1
324 9 1
324 10 1
324 11 1
324 12 1
324 13 1
324 14 1
324 15 1
324 16 1
324 17 1
325 1 1
325 2 1
325 3 1
325 4 1
325 5 1
325 6 1
325 7 1
325 8 1
325 9 1
325 10 1
325 11 1
325 12 1
325 13 1
325 14 1
325 15 1
325 16 1
325 17 1
326 1 1
326 2 1
326 3 1
326 4 1
326 5 1
326 6 1
326 7 1
326 8 1
326 9 1
326 10 1
326 11 1
326 12 1
326 13 1
326 14 1
326 15 1
326 16 1
326 17 1
327 1 1
327 2 1
327 3 1
327 4 1
327 5 1
327 6 1
327 7 1
327 8 1
327 9 1
327 10 1
327 11 1
327 12 1
327 13 1
327 14 1
327 15 1
327 16 1
327 17 1
328 1 1
328 2 1
328 3 1
328 4 1
328 5 1
328 6 1
328 7 1
328 8 1
328 9 1
328 10 1
328 11 1
328 12 1
328 13 1
328 14 1
328 15 1
328 16 1
328 17 1
329 1 1
329 2 1
329 3 1
329 4 1
329 5 1
329 6 1
329 7 1
329 8 1
329 9 1
329 10 1
329 11 1
329 12 1
329 13 1
329 14 1
329 15 1
329 16 1
329 17 1
330 1 1
330 2 1
330 3 1
330 4 1
330 5 1
330 6 1
330 7 1
330 8 1
330 9 1
330 10 1
330 11 1
330 12 1
330 13 1
330 14 1
330 15 1
330 16 1
330 17 1
331 1 1
331 2 1
331 3 1
331 4 1
331 5 1
331 6 1
331 7 1
331 8 1
331 9 1
331 10 1
331 11 1
331 12 1
331 13 1
331 14 1
331 15 1
331 16 1
331 17 1
332 1 1
332 2 1
332 3 1
332 4 1
332 5 1
332 6 1
332 7 1
332 8 1
332 9 1
332 10 1
332 11 1
332 12 1
332 13 1
332 14 1
332 15 1
332 16 1
332 17 1
333 1 1
333 2 1
333 3 1
333 4 1
333 5 1
333 6 1
333 7 1
333 8 1
333 9 1
333 10 1
333 11 1
333 12 1
333 13 1
333 14 1
333 15 1
333 16 1
333 17 1
334 1 1
334 2 1
334 3 1
334 4 1
334 5 1
334 6 1
334 7 1
334 8 1
334 9 1
334 10 1
334 11 1
334 12 1
334 13 1
334 14 1
334 15 1
334 16 1
334 17 1
335 1 1
335 2 1
335 3 1
335 4 1
335 5 1
335 6 1
335 7 1
335 8 1
335 9 1
335 10 1
335 11 1
335 12 1
335 13 1
335 14 1
335 15 1
335 16 1
335 17 1
336 1 1
336 2 1
336 3 1
336 4 1
336 5 1
336 6 1
336 7 1
336 8 1
336 9 1
336 10 1
336 11 1
336 12 1
336 13 1
336 14 1
336 15 1
336 16 1
336 17 1
337 1 1
337 2 1
337 3 1
337 4 1
337 5 1
337 6 1
337 7 1
337 8 1
337 9 1
337 10 1
337 11 1
337 12 1
337 13 1
337 14 1
337 15 1
337 16 1
337 17 1
338 1 1
338 2 1
338 3 1
338 4 1
338 5 1
338 6 1
338 7 1
338 8 1
338 9 1
338 10 1
338 11 1
338 12 1
338 13 1
338 14 1
338 15 1
338 16 1
338 17 1
339 1 1
339 2 1
339 3 1
339 4 1
339 5 1
339 6 1
339 7 1
339 8 1
339 9 1
339 10 1
339 11 1
339 12 1
339 13 1
339 14 1
339 15 1
339 16 1
339 17 1
340 1 1
340 2 1
340 3 1
340 4 1
340 5 1
340 6 1
340 7 1
340 8 1
340 9 1
340 10 1
340 11 1
340 12 1
340 13 1
340 14 1
340 15 1
340 16 1
340 17 1
340 18 1
340 19 1
340 20 1
